638060586258038784	neutral
638061181823922176	positive
638083821364244480	neutral
638091450132078593	positive
638125563790557184	positive
638130776727535617	positive
638134980862828544	neutral
638156605448695808	positive
638162155250954241	negative
638163324752891908	neutral
638166789302689792	neutral
638180579662561281	negative
638180878594785280	positive
638181456225927168	negative
638185679948660736	neutral
638201443044868096	negative
638201499118497792	positive
638209380983414784	neutral
638217759826964481	positive
638248645104640000	positive
638299266876854273	neutral
638326005803843584	positive
638334082850488320	positive
638342682117570560	positive
638362973837332481	positive
638373842138722304	positive
638376878168903681	positive
638423648492220417	neutral
638425960111546368	neutral
638433904131641344	neutral
638491441988304896	positive
638502229779939328	neutral
638528170455511040	positive
638576849354813440	neutral
638594008437104640	positive
638667363353669633	neutral
638759499260674048	neutral
638818244434923520	positive
638850460653363200	negative
638879186698919936	positive
638995368026468352	positive
639027930790797312	neutral
639068719524634625	positive
639089888684580864	positive
639090903169142786	positive
639105721896865792	positive
639131453649985541	neutral
639216221825671168	positive
639297029189988352	positive
639372766198779904	positive
639395430472790016	positive
639404422204813312	positive
639404791827963904	neutral
639432600885587969	neutral
639500177116692480	negative
639520546552684545	neutral
639534483352473601	positive
639644271847546881	positive
639671487310360577	positive
639785510177632256	positive
639904246582878210	positive
639956939066208256	neutral
640033330285576193	negative
640047532370997249	positive
640146715182436352	positive
640176482954952704	positive
640177161035513856	positive
640179617660178432	positive
640215120191164416	positive
640294027594723329	positive
640313576633167872	neutral
640360829062221824	positive
640390484704137216	positive
640536320402661376	neutral
640545706525204480	neutral
640548889410539520	positive
640553062290059264	positive
640704989363462144	positive
640745408810119168	positive
640748606958383104	positive
640755399042449408	neutral
640767846121910272	neutral
640774662033534976	neutral
640876146003828736	neutral
640893263134588928	negative
640961765208137728	positive
640980516871774210	positive
641016681234628612	positive
641028806795509760	positive
641104014172524545	neutral
641178206863785984	neutral
641188392407928832	neutral
641221720326688768	positive
641252626802286594	neutral
641325272181178368	neutral
641338433663688704	neutral
641343551620538368	negative
641359104229806080	negative
641414078519463936	positive
641463488037031936	positive
620657248138862593	positive
620726887162191872	positive
620738772179619840	positive
621027317045985280	positive
621055603524284416	negative
621445240298168320	neutral
621553727334428672	negative
621816893649874944	neutral
622066414308954112	neutral
622070904265265153	positive
622211557213257728	neutral
622396313456541696	negative
622500637259857920	neutral
622865582702989312	neutral
623333661035753472	positive
623457980931903492	negative
623589519019900929	neutral
623617946603155457	neutral
623661305367375873	neutral
623737675103645696	neutral
623833473355100161	neutral
623959800716636160	positive
624012076281909248	neutral
624022734792716288	positive
624029200371073025	positive
624122694691196928	neutral
624169794883858432	neutral
624246879493206016	positive
624602875654582272	neutral
624746080446599168	neutral
624747559102320641	positive
625001787460820992	positive
625046763297198080	positive
625191974753189888	positive
625325655161352192	positive
625394044512956416	positive
625450575140900865	neutral
625666682263052288	positive
625765855142522881	neutral
625795194819072000	negative
625992870026178560	positive
626037203047575552	neutral
626270343397830656	positive
626528275741839360	positive
626942343363608576	neutral
626959574986174464	neutral
