638061181823922176	michael jackson	positive	Jay Z joins Instagram with nostalgic tribute to Michael Jackson: Jay Z apparently joined Instagram on Saturday and.. http://t.co/Qj9I4eCvXy
638091450132078593	michael jackson	positive	I liked a @YouTube video http://t.co/AaR3pjp2PI One Direction singing "Man in the Mirror" by Michael Jackson in Atlanta, GA [June 26,
638125563790557184	michael jackson	positive	18th anniv of Princess Diana's death. I still want to believe she is living on a private island away from the public. With Michael Jackson.
638130776727535617	michael jackson	positive	@oridaganjazz The 1st time I heard Michael Jackson sing was in Honolulu, Hawaii @ a restaurant on radio. It was A.B.C. I was 13. I loved it!
638134980862828544	michael jackson	positive	'Michael Jackson' appeared on Saturday 29 at the 9th place in the Top20 of Miami's Trends: http://t.co/dXN2FWgUhb #trndnl
638156605448695808	michael jackson	positive	Are you old enough to remember Michael Jackson attending the Grammys with Brooke Shields and Webster sat on his lap during the show?
638162155250954241	michael jackson	positive	@etbowser do u enjoy his 2nd rate Michael Jackson bit? Honest ques. Like the can't feel face song but god it's so obvious they want MJ 2.0
638180579662561281	michael jackson	positive	Here I am saying Kanye isn't a bad guy when these people just gave you a fucking award that Michael Jackson got c'mon bro
638180878594785280	michael jackson	positive	@MariahCarey may he R.I.P. Happy Birthday Michael Jackson . :)
638181456225927168	michael jackson	positive	may i just say the mtv awards is shit w/o Michael Jackson
638185679948660736	michael jackson	positive	I just may be actually done with this award show.. Unless they get Michael Jackson on hologram.
638201443044868096	michael jackson	positive	@NICKIMINAJ today you try to destroy a Sir Mix-a-Lot hit - tomorrow Michael Jackson? WRITE YOUR OWN DAMN HOOKS!
638201499118497792	michael jackson	positive	VIRGO OF THE DAY- We wished our fellow Virgo Captain Michael Jackson a Happy Birthday on the 29th now it's time... http://t.co/fF7I7D7ItV
638209380983414784	michael jackson	positive	@juliaanapp you may say oh it is August 29 Liam from One Direction's birthday but no it's also Michael Jackson birthday
638217759826964481	michael jackson	positive	Michael Jackson was the man, I remember watching the Thriller &amp; Smooth Criminal music video for the 1st time &amp; it was lit
638248645104640000	michael jackson	positive	ALDUB RADIO MaAlden Monday NP: I Just Can't Stop Loving You by Michael Jackson! This with Spanish and French versions! #ALDUBTheREVELATION
638299266876854273	michael jackson	positive	#NP Michael Jackson - Human Nature on #BrunchInTheCiti w/ @OsKwame  #tunein  5th of 7 tracks from the Thriller album http://t.co/pDIlytllfb
638326005803843584	michael jackson	positive	HAPPY 28th BIRTHDAY, BAD !!!!!   "Well they say the sky's the limit And to me that's really true"- Michael Jackson http://t.co/07XeTiDMHj
638334082850488320	michael jackson	positive	Happy 28th anniversary to the album that generated 5 #1's just like katy's teenage dream a.k.a. Bad (Michael Jackson)
638342682117570560	michael jackson	positive	Today is the 28th Anniversary of Michael Jackson releasing the "Bad" album, what's your favorite song from it?
638362973837332481	michael jackson	positive	Remember when Michael Jackson beat everyone at school on command and conquer tiberian sun? A great day
638373842138722304	michael jackson	positive	The Weeknd may be Michael Jackson reincarnated... I'm just saying there are a lot of similarities musically #butthatsnoneofmybusiness
638376878168903681	michael jackson	positive	@OU_Football Eric, I heard your love for Michael Jackson. I got to see him in concert from the 4th row - his sweat hit me when he spun.
638423648492220417	michael jackson	positive	@Pearsey you got that from his website. My brothers mate at school once said his 2nd cousin was Michael Jackson. A similar tale to this...
638433904131641344	michael jackson	positive	Very sad news Dr. Wayne Dyer passes away - Ever the Vanguard for Michael Jackson - May God grant him Peace.  https://t.co/bKrxnEou0l
638491441988304896	michael jackson	positive	#OnThisDay1987 CBS records shipped out the largest pre-order in the company's history for Michael Jackson's album Bad http://t.co/v4fkyOx2eW
638502229779939328	michael jackson	negative	Either going as Kurt Cobain with needles all in my arms or Michael Jackson with the local little boys for rock &amp; roll day tomorrow
638528170455511040	michael jackson	positive	I just texted my friend that I'd be busy all day tomorrow preparing to roast Michael Jackson tomorrow night.   Life is awesome.
638576849354813440	michael jackson	positive	mom: "I say 23 because your birthday is on the 23rd" me: no you say it because mj  mom: michael jackson? me: did he play ball too? mom: oh.
638594008437104640	michael jackson	positive	Jay Z 'pays tribute to Michael Jackson as he joins Instagram' with touching photo, it may be his last http://t.co/dQHJT59Ciy
638667363353669633	michael jackson	positive	Michael Jackson may have composed the music in Sonic 3. Someone please confirm this for me before I die this is so important
638759499260674048	michael jackson	positive	My Book about Michael Jackson is out Sept 10th #michaeljackson #83minutes #michaeljacksonbook
638818244434923520	michael jackson	positive	@autoengmike @Minutemaniac @ImStillARebel @coltgovt45 @typewrittenlove You're a better dancer than Michael Jackson.  C"mon, spill the beans
638850460653363200	michael jackson	positive	I was sat with my auntie who has seen Michael Jackson live &amp; I had to watch a shitty Bruno Mars tribute try to sing Billie Jean
638879186698919936	michael jackson	positive	@Glen_Hansard 1st record, &amp; best memory of buying an album with my own $, was Michael Jackson's Thriller. In that moment, I was a rockstar.
638995368026468352	michael jackson	positive	@HeartNorthWest you can't beat a bit off Michael Jackson on a Wednesday morning #time tunnel
