249298288367525888	positive	"i'm done writing code for the week! Looks like we've developed a good a** game for the show Revenge on ABC Sunday, Premeres 09/30/12 9pm"
282031301962395648	neutral	dec 21st 2012 will be know not as the end of the world but the Baby Boom! #2012shit
220880422320603137	negative	"@MacMiller hate my life, because i can't see you at the roskilde festival on saturday, promise me to come back again, SOON."
224000915634520064	positive	Checked out Our Lady Peace at Bluesfest tonight and spending the day at the beach for HOPE volleyball tomorrow. Gotta love summer weekends!
255713054224949249	positive	Hello from the Foundation Trekkers! We're up in chilly Haltwhistle getting ready to trek Hadrian's wall tomorrow :-) http://t.co/MmRnhLAL
267404127213060096	positive	Tomorrow we will be proud to play at the Remembrance Service at South Hetton church
266350263764393985	negative	Impulsively bought Resident Evil: Operation Raccoon City. Probably won't play it till tomorrow though. Have so much editing to do with 06.
229523369538768896	neutral	"Just arriving in madrid from Moscow Tomorrow going to HVar, Croatia"
243174308720021504	positive	nataaashaAnn where you been? Don't forget about Stratford weekend in Grand Bend Aug 10 (it's free!) Yn4j
217972854719905792	positive	"Cainer was given a Key to the City of SF. June 13th will also forever be known as """"Matt Cain Day."""" #SFGiants #PerfectCain"
253303104345346049	positive	Knowing that @LukeBryanOnline is at Rum Runners right now makes it hard for me to control my excitement for tomorrow! #FarmTour
256667211803009024	neutral	Just packing for a weekend in Liverpool and the small matter of a marathon on Sunday. First up though...Blackpool Illuminations!
223365454452891649	negative	"Your plans of attending the Great Yorkshire Show may have been washed out because of the weather, so how about... http://t.co/fEsAtbk8"
212138200385331201	neutral	"By the end of today I will have worked 14hrs, done my workout and attended part of Hot Jam. Hitting the ground running this Monday."
278353426096738306	neutral	Check out this weeks the @SixersBBL Scoop column looking back on Sat Nights win over the Thunder! http://t.co/lRto77al #smashemsixers #BBL02
244043385944539136	positive	"Three day weekend a head. Tonight Grand Bend forracing, Saturday Grand Bend with the inlaws more racing. Sunday first #Sting game for us."
248007329658834944	positive	Have you been inspired by Ironman Wales? Why not give triathlon a go by taking part in the Fishguard Go Tri on Sunday. http://t.co/lDfNW2fG
271997775552585728	neutral	"Everyone's out Black Friday shopping talking about what deals they got and I'm just over here like """"Hey I'm eating Thanksgiving leftovers!""""."
278528076445523968	positive	I've found lyrics of Kiryu - Kaika!!! YES!!! but I've sat down to listen a song and write it already...))
239496123524468736	neutral	"Jonathan Kozol is the leading author on educational advocacy and social equality. He will be on campus Wednesday,... http://t.co/nteU8d3w"
221521873408765955	negative	@nurinqistinaa @hannahban4na That's the 1st.2nd: Nadia &amp; Mysa about Mysa break dgn Adam. 3rd: this bullshit thingy -.-
